,value,metric,type
327,-0.8877725584625793,kde,full
328,1.641940954811593,kde,full
329,2.0180834198036712,kde,full
330,2.893972107516719,kde,full
331,1.2202655648295684,kde,full
332,-0.6496840509808312,kde,full
333,-0.802540786596465,kde,full
334,2.066313837010346,kde,full
335,1.0248183225321585,kde,full
336,-1.0824428194499298,kde,full
337,3.070565852244976,kde,full
338,2.004306537033175,kde,full
339,2.419709212490691,kde,full
340,1.5985850817128493,kde,full
341,2.4682846397171194,kde,full
342,2.596974175401801,kde,full
343,2.9173788364810362,kde,full
344,4.902602202384985,kde,full
345,1.371036132084638,kde,full
346,3.115080826232561,kde,full
347,-0.5753029911266617,kde,full
348,1.5938365551142102,kde,full
349,2.1964864512671274,kde,full
350,2.8980076016394825,kde,full
351,1.1319813414773914,kde,full
352,-0.907852113008447,kde,full
353,-0.9705964530269543,kde,full
354,1.9849676805315206,kde,full
355,0.972045886949775,kde,full
356,-1.2596249899131295,kde,full
357,2.9305622658768584,kde,full
358,1.9091144348212996,kde,full
359,2.8122594039268267,kde,full
360,1.4346615552933062,kde,full
361,2.6132234379147428,kde,full
362,2.806165495049512,kde,full
363,2.89577605521014,kde,full
364,4.844489108548946,kde,full
365,1.327440761452333,kde,full
366,2.8066872923111257,kde,full
367,-0.5042920837208692,kde,full
368,1.6042087131588318,kde,full
369,2.973556760845313,kde,full
370,2.8898401470966206,kde,full
371,1.427851315761953,kde,full
372,-0.31554073689192796,kde,full
373,-1.2541309495244393,kde,full
374,1.9620556920621919,kde,full
375,0.8800807669030879,kde,full
376,-0.9959432817934674,kde,full
377,5.653674741592828,kde,full
378,2.185031323877137,kde,full
379,2.4986076697172352,kde,full
380,1.5655772563784693,kde,full
381,2.603246927064834,kde,full
382,2.867162585225344,kde,full
383,2.9859998317930763,kde,full
384,5.237056403599489,kde,full
385,1.2543918814029884,kde,full
386,2.835190140229193,kde,full
387,-0.12450633627372298,kde,full
388,1.911009683854771,kde,full
389,1.7078115478108407,kde,full
390,3.0238435665414727,kde,full
391,1.4226280390322832,kde,full
392,-0.2829840572688823,kde,full
393,-0.5579817384399782,kde,full
394,2.1707523033525704,kde,full
395,0.9321736859497006,kde,full
396,-1.11269275306106,kde,full
397,1.991649999260428,kde,full
398,1.6825846130993503,kde,full
399,2.2508036056629264,kde,full
400,1.3050633906974887,kde,full
401,2.1985424292632785,kde,full
402,2.5663489946781155,kde,full
403,2.527808236297169,kde,full
404,6.289214960039616,kde,full
405,1.431112687057512,kde,full
406,3.5467918648869703,kde,full
407,1.2451068740453017,kde,full
408,1.3914707672582953,kde,full
409,3.904130248776163,kde,full
410,1.935466636059913,kde,full
411,3.031035546352454,kde,full
412,1.5753599303406136,kde,full
413,1.0115349546722223,kde,full
414,-0.6965862899704853,kde,full
415,2.432818549078599,kde,full
416,0.8881883028480138,kde,full
417,-1.0929505519351248,kde,full
418,2.278365695941055,kde,full
419,1.8194165656846129,kde,full
420,2.2793220869765984,kde,full
421,1.4066834220853872,kde,full
422,2.1504551543361456,kde,full
423,2.7793253758875265,kde,full
424,2.6193718176468854,kde,full
425,6.45934712256329,kde,full
426,1.3270868417884234,kde,full
427,3.8062371081144852,kde,full
428,3.0533234789722146,kde,full
429,1.7537587134508947,kde,full
430,3.295895763917635,kde,full
431,1.589038289369116,kde,full
432,2.878685913130408,kde,full
433,1.4897516863772493,kde,full
434,2.1120036187993785,kde,full
435,-1.03154506020438,kde,full
436,2.371498177592307,kde,full
437,0.7094591984610374,kde,full
438,-1.0344315146653003,kde,full
439,1.8691871676874086,kde,full
440,1.7755198007900805,kde,full
441,2.4404177884626335,kde,full
442,1.4928223577270996,kde,full
443,2.3619617059768894,kde,full
444,2.7866009290984106,kde,full
445,2.797474829450378,kde,full
446,7.045802608106239,kde,full
447,1.2249363481820996,kde,full
448,3.760854984031667,kde,full
449,2.6570507397091374,kde,full
450,1.6477334242420643,kde,full
451,3.01864350125737,kde,full
452,1.4774712311651896,kde,full
453,2.9585943001241284,kde,full
454,1.3789325184718892,kde,full
455,2.019671484718465,kde,full
456,-0.747482278116201,kde,full
457,2.234905226421992,kde,full
458,0.6232310508326265,kde,full
459,-1.0070290379153108,kde,full
460,2.044534585414796,kde,full
461,1.9535592653709775,kde,full
462,2.6688127674572724,kde,full
463,1.241730849089019,kde,full
464,2.667214466169095,kde,full
465,2.8007746517965884,kde,full
466,2.932959247550215,kde,full
467,8.201247923680333,kde,full
468,1.2473900795303785,kde,full
469,3.572983798599956,kde,full
470,4.880804259967484,kde,full
471,1.5299456385776415,kde,full
472,2.743620158260884,kde,full
473,1.8741790225722668,kde,full
474,2.835128130443227,kde,full
475,1.4391202635621636,kde,full
476,4.158453794579891,kde,full
477,-0.8722278813951222,kde,full
478,2.2189317287593258,kde,full
479,0.6105477857998025,kde,full
480,-0.9654174957071957,kde,full
481,2.3503556022375065,kde,full
482,1.8398073195765452,kde,full
483,2.5706565245991118,kde,full
484,1.1326234604650969,kde,full
485,2.63081834575177,kde,full
486,2.7439170316493744,kde,full
487,2.768644879075825,kde,full
488,10.772535199852623,kde,full
489,1.3654201657098795,kde,full
490,3.706274275814068,kde,full
491,12.284827782907865,kde,full
